kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje,drzava,sezona
1,petek,8/16/19,9:00 PM,6,Athletic,15,Barcelona,1,0,Spain,19
1,sobota,8/17/19,5:00 PM,19,Celta de Vigo,1,Real Madrid,1,3,Spain,19
1,sobota,8/17/19,7:00 PM,12,Valencia,11,Real Sociedad,1,1,Spain,19
1,sobota,8/17/19,8:00 PM,4,RCD Mallorca,13,SD Eibar,2,1,Spain,19
1,sobota,8/17/19,9:00 PM,17,CD Leganés,8,CA Osasuna,0,1,Spain,19
1,sobota,8/17/19,9:00 PM,10,Villarreal,9,Granada CF,4,4,Spain,19
1,nedelja,8/18/19,5:00 PM,7,Alavés,18,Levante,1,0,Spain,19
1,nedelja,8/18/19,7:00 PM,20,Espanyol,2,Sevilla FC,0,2,Spain,19
1,nedelja,8/18/19,9:00 PM,14,Real Betis,3,Real Valladolid,1,2,Spain,19
1,nedelja,8/18/19,10:00 PM,5,Atlético Madrid,16,Getafe,1,0,Spain,19
2,petek,8/23/19,8:00 PM,9,Granada CF,2,Sevilla FC,0,1,Spain,19
2,petek,8/23/19,10:00 PM,18,Levante,10,Villarreal,2,1,Spain,19
2,sobota,8/24/19,5:00 PM,8,CA Osasuna,13,SD Eibar,0,0,Spain,19
2,sobota,8/24/19,7:00 PM,1,Real Madrid,3,Real Valladolid,1,1,Spain,19
2,sobota,8/24/19,9:00 PM,19,Celta de Vigo,12,Valencia,1,0,Spain,19
2,sobota,8/24/19,9:00 PM,16,Getafe,6,Athletic,1,1,Spain,19
2,nedelja,8/25/19,5:00 PM,7,Alavés,20,Espanyol,0,0,Spain,19
2,nedelja,8/25/19,5:00 PM,4,RCD Mallorca,11,Real Sociedad,0,1,Spain,19
2,nedelja,8/25/19,7:00 PM,17,CD Leganés,5,Atlético Madrid,0,1,Spain,19
2,nedelja,8/25/19,9:00 PM,15,Barcelona,14,Real Betis,5,2,Spain,19
3,petek,8/30/19,8:00 PM,1,Sevilla FC,12,Celta de Vigo,1,1,Spain,19
3,petek,8/30/19,10:00 PM,3,Athletic,4,Real Sociedad,2,0,Spain,19
3,sobota,8/31/19,5:00 PM,6,CA Osasuna,9,Barcelona,2,2,Spain,19
3,sobota,8/31/19,7:00 PM,13,Getafe,5,Alavés,1,1,Spain,19
3,sobota,8/31/19,7:00 PM,10,Levante,7,Real Valladolid,2,0,Spain,19
3,sobota,8/31/19,9:00 PM,20,Real Betis,19,CD Leganés,2,1,Spain,19
3,nedelja,9/1/19,5:00 PM,14,Valencia,11,RCD Mallorca,2,0,Spain,19
3,nedelja,9/1/19,7:00 PM,2,Atlético Madrid,15,SD Eibar,3,2,Spain,19
3,nedelja,9/1/19,7:00 PM,16,Espanyol,17,Granada CF,0,3,Spain,19
3,nedelja,9/1/19,9:00 PM,18,Villarreal,8,Real Madrid,2,2,Spain,19
4,petek,9/13/19,9:00 PM,14,RCD Mallorca,3,Athletic,0,0,Spain,19
4,sobota,9/14/19,1:00 PM,5,Real Madrid,4,Levante,3,2,Spain,19
4,sobota,9/14/19,4:00 PM,20,CD Leganés,16,Villarreal,0,3,Spain,19
4,sobota,9/14/19,6:30 PM,12,Real Sociedad,1,Atlético Madrid,2,0,Spain,19
4,sobota,9/14/19,9:00 PM,8,Barcelona,13,Valencia,5,2,Spain,19
4,nedelja,9/15/19,12:00 PM,18,SD Eibar,19,Espanyol,1,2,Spain,19
4,nedelja,9/15/19,2:00 PM,7,Alavés,2,Sevilla FC,0,1,Spain,19
4,nedelja,9/15/19,4:00 PM,11,Celta de Vigo,9,Granada CF,0,2,Spain,19
4,nedelja,9/15/19,6:30 PM,10,Real Valladolid,6,CA Osasuna,1,1,Spain,19
4,nedelja,9/15/19,9:00 PM,15,Real Betis,17,Getafe,1,1,Spain,19
5,petek,9/20/19,9:00 PM,9,CA Osasuna,15,Real Betis,0,0,Spain,19
5,sobota,9/21/19,1:00 PM,10,Villarreal,12,Real Valladolid,2,0,Spain,19
5,sobota,9/21/19,4:00 PM,8,Levante,19,SD Eibar,0,0,Spain,19
5,sobota,9/21/19,6:30 PM,2,Atlético Madrid,16,Celta de Vigo,0,0,Spain,19
5,sobota,9/21/19,9:00 PM,6,Granada CF,5,Barcelona,2,0,Spain,19
5,nedelja,9/22/19,12:00 PM,18,Getafe,14,RCD Mallorca,4,2,Spain,19
5,nedelja,9/22/19,2:00 PM,17,Espanyol,7,Real Sociedad,1,3,Spain,19
5,nedelja,9/22/19,4:00 PM,13,Valencia,20,CD Leganés,1,1,Spain,19
5,nedelja,9/22/19,6:30 PM,4,Athletic,11,Alavés,2,0,Spain,19
5,nedelja,9/22/19,9:00 PM,1,Sevilla FC,3,Real Madrid,0,1,Spain,19
6,torek,9/24/19,7:00 PM,13,Real Valladolid,5,Granada CF,1,1,Spain,19
6,torek,9/24/19,8:00 PM,15,Real Betis,8,Levante,3,1,Spain,19
6,torek,9/24/19,9:00 PM,9,Barcelona,7,Villarreal,2,1,Spain,19
6,sreda,9/25/19,7:00 PM,20,CD Leganés,1,Athletic,1,1,Spain,19
6,sreda,9/25/19,7:00 PM,17,RCD Mallorca,6,Atlético Madrid,0,2,Spain,19
6,sreda,9/25/19,8:00 PM,16,Valencia,11,Getafe,3,3,Spain,19
6,sreda,9/25/19,9:00 PM,2,Real Madrid,10,CA Osasuna,2,0,Spain,19
6,četrtek,9/26/19,7:00 PM,19,SD Eibar,4,Sevilla FC,3,2,Spain,19
6,četrtek,9/26/19,8:00 PM,14,Celta de Vigo,18,Espanyol,1,1,Spain,19
6,četrtek,9/26/19,9:00 PM,3,Real Sociedad,12,Alavés,3,0,Spain,19
7,petek,9/27/19,9:00 PM,8,Villarreal,9,Real Betis,5,1,Spain,19
7,sobota,9/28/19,1:00 PM,4,Athletic,15,Valencia,0,1,Spain,19
7,sobota,9/28/19,4:00 PM,10,Getafe,6,Barcelona,0,2,Spain,19
7,sobota,9/28/19,6:30 PM,5,Granada CF,20,CD Leganés,1,0,Spain,19
7,sobota,9/28/19,9:00 PM,3,Atlético Madrid,1,Real Madrid,0,0,Spain,19
7,nedelja,9/29/19,12:00 PM,16,Espanyol,13,Real Valladolid,0,2,Spain,19
7,nedelja,9/29/19,2:00 PM,18,SD Eibar,14,Celta de Vigo,2,0,Spain,19
7,nedelja,9/29/19,4:00 PM,17,Alavés,19,RCD Mallorca,2,0,Spain,19
