kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje,drzava,sezona
1,petek,8/2/19,8:00 PM,16,PEC Zwolle,5,Willem II,1,3,Netherlands,19
1,sobota,8/3/19,6:30 PM,10,Vitesse,7,Ajax,2,2,Netherlands,19
1,sobota,8/3/19,6:30 PM,14,FC Emmen,6,FC Groningen,0,1,Netherlands,19
1,sobota,8/3/19,8:45 PM,4,VVV-Venlo,13,RKC Waalwijk,3,1,Netherlands,19
1,sobota,8/3/19,8:45 PM,12,Twente FC,11,PSV Eindhoven,1,1,Netherlands,19
1,nedelja,8/4/19,12:15 PM,18,Heracles Almelo,2,Heerenveen,0,4,Netherlands,19
1,nedelja,8/4/19,2:30 PM,8,Feyenoord,9,Sparta R.,2,2,Netherlands,19
1,nedelja,8/4/19,4:45 PM,15,ADO Den Haag,3,FC Utrecht,2,4,Netherlands,19
1,nedelja,8/4/19,8:00 PM,1,AZ Alkmaar,17,Fortuna Sittard,4,0,Netherlands,19
2,petek,8/9/19,8:00 PM,9,Sparta R.,4,VVV-Venlo,4,1,Netherlands,19
2,sobota,8/10/19,6:30 PM,6,FC Groningen,12,Twente FC,1,3,Netherlands,19
2,sobota,8/10/19,7:45 PM,7,Ajax,14,FC Emmen,5,0,Netherlands,19
2,sobota,8/10/19,8:45 PM,5,Willem II,10,Vitesse,0,2,Netherlands,19
2,nedelja,8/11/19,12:00 AM,3,FC Utrecht,16,PEC Zwolle,3,1,Netherlands,19
2,nedelja,8/11/19,12:15 PM,17,Fortuna Sittard,18,Heracles Almelo,1,1,Netherlands,19
2,nedelja,8/11/19,2:30 PM,2,Heerenveen,8,Feyenoord,1,1,Netherlands,19
2,nedelja,8/11/19,2:30 PM,13,RKC Waalwijk,1,AZ Alkmaar,0,2,Netherlands,19
2,nedelja,8/11/19,8:00 PM,11,PSV Eindhoven,15,ADO Den Haag,3,1,Netherlands,19
