kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje,drzava,sezona
1,petek,8/10/18,8:45 PM,16,Ankaragücü,1,Galatasaray,1,3,Turkey,18
1,sobota,8/11/18,6:30 PM,10,C. Rizespor,5,Kasimpasa,2,3,Turkey,18
1,sobota,8/11/18,6:30 PM,9,Sivasspor,14,Alanyaspor,1,0,Turkey,18
1,sobota,8/11/18,8:45 PM,7,Fenerbahce,13,Bursaspor,2,1,Turkey,18
1,nedelja,8/12/18,6:30 PM,3,Basaksehir,17,Trabzonspor,2,0,Turkey,18
1,nedelja,8/12/18,6:30 PM,6,Konyaspor,11,BB Erzurumspor,3,2,Turkey,18
1,nedelja,8/12/18,8:45 PM,8,Besiktas,12,Akhisarspor,2,1,Turkey,18
1,nedelja,8/12/18,8:45 PM,15,Göztepe,2,Y. Malatyaspor,1,3,Turkey,18
1,ponedeljek,8/13/18,8:45 PM,4,Kayserispor,18,Antalyaspor,2,0,Turkey,18
2,petek,8/17/18,8:45 PM,17,Trabzonspor,9,Sivasspor,3,1,Turkey,18
2,sobota,8/18/18,6:15 PM,13,Bursaspor,4,Kayserispor,0,0,Turkey,18
2,sobota,8/18/18,8:45 PM,18,Antalyaspor,6,Konyaspor,3,3,Turkey,18
2,sobota,8/18/18,8:45 PM,2,Y. Malatyaspor,7,Fenerbahce,1,0,Turkey,18
2,nedelja,8/19/18,6:15 PM,11,BB Erzurumspor,8,Besiktas,1,3,Turkey,18
2,nedelja,8/19/18,6:15 PM,12,Akhisarspor,10,C. Rizespor,1,1,Turkey,18
2,nedelja,8/19/18,8:45 PM,14,Alanyaspor,16,Ankaragücü,0,2,Turkey,18
2,nedelja,8/19/18,8:45 PM,1,Galatasaray,15,Göztepe,1,0,Turkey,18
2,ponedeljek,8/20/18,8:45 PM,5,Kasimpasa,3,Basaksehir,2,1,Turkey,18
3,petek,8/24/18,6:15 PM,14,C. Rizespor,16,BB Erzurumspor,0,0,Turkey,18
3,sobota,8/25/18,6:15 PM,7,Ankaragücü,10,Trabzonspor,2,2,Turkey,18
3,sobota,8/25/18,8:45 PM,17,Göztepe,8,Fenerbahce,1,0,Turkey,18
3,sobota,8/25/18,8:45 PM,5,Kayserispor,3,Y. Malatyaspor,0,0,Turkey,18
3,nedelja,8/26/18,6:15 PM,11,Sivasspor,4,Kasimpasa,0,3,Turkey,18
3,nedelja,8/26/18,8:45 PM,1,Besiktas,13,Antalyaspor,2,3,Turkey,18
3,nedelja,8/26/18,8:45 PM,6,Konyaspor,12,Bursaspor,1,1,Turkey,18
3,ponedeljek,8/27/18,6:15 PM,9,Basaksehir,15,Akhisarspor,3,1,Turkey,18
3,ponedeljek,8/27/18,8:45 PM,2,Galatasaray,18,Alanyaspor,6,0,Turkey,18
4,petek,8/31/18,8:45 PM,3,Y. Malatyaspor,7,Konyaspor,0,1,Turkey,18
4,sobota,9/1/18,6:15 PM,13,Fenerbahce,6,Kayserispor,2,3,Turkey,18
4,sobota,9/1/18,6:15 PM,16,Akhisarspor,11,Sivasspor,1,1,Turkey,18
4,sobota,9/1/18,8:45 PM,9,Trabzonspor,1,Galatasaray,4,0,Turkey,18
4,sobota,9/1/18,8:45 PM,18,Alanyaspor,12,Göztepe,1,0,Turkey,18
4,nedelja,9/2/18,6:15 PM,17,BB Erzurumspor,4,Basaksehir,0,1,Turkey,18
4,nedelja,9/2/18,6:15 PM,2,Kasimpasa,10,Ankaragücü,2,1,Turkey,18
4,nedelja,9/2/18,8:45 PM,8,Antalyaspor,14,C. Rizespor,2,1,Turkey,18
4,nedelja,9/2/18,8:45 PM,15,Bursaspor,5,Besiktas,1,1,Turkey,18
5,petek,9/14/18,8:00 PM,2,Galatasaray,1,Kasimpasa,4,1,Turkey,18
5,sobota,9/15/18,4:00 PM,10,Ankaragücü,17,Akhisarspor,1,0,Turkey,18
5,sobota,9/15/18,7:00 PM,14,Göztepe,4,Kayserispor,2,0,Turkey,18
5,sobota,9/15/18,7:00 PM,9,Besiktas,7,Y. Malatyaspor,2,1,Turkey,18
5,nedelja,9/16/18,4:00 PM,11,Sivasspor,18,BB Erzurumspor,2,2,Turkey,18
5,nedelja,9/16/18,4:00 PM,3,Basaksehir,8,Antalyaspor,4,0,Turkey,18
5,nedelja,9/16/18,7:00 PM,16,C. Rizespor,15,Bursaspor,1,1,Turkey,18
5,nedelja,9/16/18,7:00 PM,5,Konyaspor,13,Fenerbahce,0,1,Turkey,18
5,ponedeljek,9/17/18,7:00 PM,12,Alanyaspor,6,Trabzonspor,1,0,Turkey,18
6,petek,9/21/18,7:00 PM,17,BB Erzurumspor,10,Ankaragücü,0,1,Turkey,18
6,petek,9/21/18,7:00 PM,15,Bursaspor,3,Basaksehir,0,0,Turkey,18
6,sobota,9/22/18,12:30 PM,7,Y. Malatyaspor,16,C. Rizespor,1,0,Turkey,18
6,sobota,9/22/18,3:00 PM,6,Kayserispor,5,Konyaspor,0,2,Turkey,18
6,sobota,9/22/18,6:00 PM,9,Trabzonspor,12,Göztepe,1,2,Turkey,18
6,nedelja,9/23/18,3:00 PM,2,Kasimpasa,11,Alanyaspor,1,2,Turkey,18
6,nedelja,9/23/18,6:00 PM,8,Antalyaspor,14,Sivasspor,2,1,Turkey,18
6,nedelja,9/23/18,6:00 PM,18,Akhisarspor,1,Galatasaray,3,0,Turkey,18
6,ponedeljek,9/24/18,8:00 PM,13,Fenerbahce,4,Besiktas,1,1,Turkey,18
7,petek,9/28/18,7:00 PM,2,Galatasaray,18,BB Erzurumspor,1,0,Turkey,18
7,sobota,9/29/18,3:00 PM,12,Trabzonspor,3,Kasimpasa,4,2,Turkey,18
7,sobota,9/29/18,3:00 PM,9,Alanyaspor,16,Akhisarspor,2,1,Turkey,18
7,sobota,9/29/18,6:00 PM,4,Besiktas,11,Kayserispor,2,0,Turkey,18
7,nedelja,9/30/18,12:30 PM,15,Sivasspor,14,Bursaspor,2,0,Turkey,18
7,nedelja,9/30/18,3:00 PM,10,Göztepe,5,Konyaspor,3,2,Turkey,18
7,nedelja,9/30/18,6:00 PM,17,C. Rizespor,13,Fenerbahce,3,0,Turkey,18
7,ponedeljek,10/1/18,7:00 PM,7,Ankaragücü,8,Antalyaspor,0,1,Turkey,18
7,ponedeljek,10/1/18,7:00 PM,1,Basaksehir,6,Y. Malatyaspor,1,1,Turkey,18
8,petek,10/5/18,7:00 PM,6,Kasimpasa,7,Göztepe,3,1,Turkey,18
8,sobota,10/6/18,12:30 PM,13,Kayserispor,15,C. Rizespor,2,2,Turkey,18
8,sobota,10/6/18,3:00 PM,18,BB Erzurumspor,5,Alanyaspor,1,0,Turkey,18
8,sobota,10/6/18,3:00 PM,17,Bursaspor,11,Ankaragücü,1,0,Turkey,18
8,sobota,10/6/18,6:00 PM,4,Antalyaspor,1,Galatasaray,0,1,Turkey,18
8,nedelja,10/7/18,12:30 PM,9,Y. Malatyaspor,12,Sivasspor,4,4,Turkey,18
8,nedelja,10/7/18,5:00 PM,14,Fenerbahce,2,Basaksehir,0,0,Turkey,18
8,nedelja,10/7/18,6:00 PM,16,Akhisarspor,10,Trabzonspor,1,3,Turkey,18
8,nedelja,10/7/18,7:30 PM,8,Konyaspor,3,Besiktas,2,2,Turkey,18
9,petek,10/19/18,7:30 PM,1,Galatasaray,15,Bursaspor,1,1,Turkey,18
9,sobota,10/20/18,12:30 PM,3,Kasimpasa,17,Akhisarspor,5,0,Turkey,18
9,sobota,10/20/18,3:00 PM,4,Basaksehir,13,Kayserispor,1,0,Turkey,18
9,sobota,10/20/18,6:00 PM,12,Sivasspor,14,Fenerbahce,0,0,Turkey,18
9,nedelja,10/21/18,12:30 PM,16,C. Rizespor,9,Konyaspor,1,1,Turkey,18
9,nedelja,10/21/18,3:00 PM,11,Ankaragücü,7,Y. Malatyaspor,1,0,Turkey,18
9,nedelja,10/21/18,3:00 PM,8,Alanyaspor,6,Antalyaspor,0,1,Turkey,18
9,nedelja,10/21/18,6:00 PM,10,Göztepe,2,Besiktas,2,0,Turkey,18
9,ponedeljek,10/22/18,7:00 PM,5,Trabzonspor,18,BB Erzurumspor,0,0,Turkey,18
10,petek,10/26/18,7:30 PM,15,Bursaspor,11,Alanyaspor,2,0,Turkey,18
10,sobota,10/27/18,12:30 PM,17,BB Erzurumspor,2,Kasimpasa,1,1,Turkey,18
10,sobota,10/27/18,3:00 PM,8,Konyaspor,3,Basaksehir,0,1,Turkey,18
10,sobota,10/27/18,6:00 PM,4,Antalyaspor,7,Trabzonspor,1,1,Turkey,18
10,nedelja,10/28/18,11:30 AM,13,Kayserispor,12,Sivasspor,2,0,Turkey,18
10,nedelja,10/28/18,4:00 PM,10,Y. Malatyaspor,1,Galatasaray,2,0,Turkey,18
10,nedelja,10/28/18,6:30 PM,14,Fenerbahce,9,Ankaragücü,1,3,Turkey,18
10,ponedeljek,10/29/18,6:00 PM,18,Akhisarspor,5,Göztepe,1,0,Turkey,18
10,ponedeljek,10/29/18,6:00 PM,6,Besiktas,16,C. Rizespor,4,1,Turkey,18
11,petek,11/2/18,7:00 PM,2,Galatasaray,15,Fenerbahce,2,2,Turkey,18
11,sobota,11/3/18,11:30 AM,3,Kasimpasa,5,Antalyaspor,1,2,Turkey,18
11,sobota,11/3/18,2:00 PM,17,Akhisarspor,18,BB Erzurumspor,1,1,Turkey,18
11,sobota,11/3/18,5:00 PM,1,Basaksehir,4,Besiktas,1,0,Turkey,18
11,nedelja,11/4/18,11:30 AM,6,Ankaragücü,12,Kayserispor,3,1,Turkey,18
11,nedelja,11/4/18,2:00 PM,13,Alanyaspor,7,Y. Malatyaspor,0,1,Turkey,18
11,nedelja,11/4/18,5:00 PM,9,Trabzonspor,11,Bursaspor,1,1,Turkey,18
11,ponedeljek,11/5/18,6:00 PM,8,Göztepe,16,C. Rizespor,2,0,Turkey,18
11,ponedeljek,11/5/18,6:00 PM,14,Sivasspor,10,Konyaspor,0,0,Turkey,18
12,petek,11/9/18,6:00 PM,6,Y. Malatyaspor,9,Trabzonspor,5,0,Turkey,18
