kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje,drzava,sezona
1,petek,8/10/18,8:45 PM,1,Marseille,20,Toulouse,4,0,France,18
1,sobota,8/11/18,5:00 PM,15,FC Nantes,4,Monaco,1,3,France,18
1,sobota,8/11/18,8:00 PM,11,SCO Angers,7,Nîmes Olympique,3,4,France,18
1,sobota,8/11/18,8:00 PM,3,LOSC Lille,16,Stade Rennais,3,1,France,18
1,sobota,8/11/18,8:00 PM,13,Montpellier,8,Dijon,1,2,France,18
1,sobota,8/11/18,8:00 PM,14,OGC Nice,10,Stade Reims,0,1,France,18
1,sobota,8/11/18,8:00 PM,9,Saint-Étienne,12,Guingamp,2,1,France,18
1,nedelja,8/12/18,3:00 PM,5,Olympique Lyon,17,Amiens SC,2,0,France,18
1,nedelja,8/12/18,5:00 PM,18,G. Bordeaux,6,R. Strasbourg,0,2,France,18
1,nedelja,8/12/18,9:00 PM,2,Paris SG,19,SM Caen,3,0,France,18
2,petek,8/17/18,8:45 PM,10,Stade Reims,5,Olympique Lyon,1,0,France,18
2,sobota,8/18/18,5:00 PM,12,Guingamp,2,Paris SG,1,3,France,18
2,sobota,8/18/18,8:00 PM,17,Amiens SC,13,Montpellier,1,2,France,18
2,sobota,8/18/18,8:00 PM,19,SM Caen,14,OGC Nice,1,1,France,18
2,sobota,8/18/18,8:00 PM,8,Dijon,15,FC Nantes,2,0,France,18
2,sobota,8/18/18,8:00 PM,4,Monaco,3,LOSC Lille,0,0,France,18
2,sobota,8/18/18,8:00 PM,16,Stade Rennais,11,SCO Angers,1,0,France,18
2,nedelja,8/19/18,3:00 PM,6,R. Strasbourg,9,Saint-Étienne,1,1,France,18
2,nedelja,8/19/18,5:00 PM,20,Toulouse,18,G. Bordeaux,2,1,France,18
2,nedelja,8/19/18,9:00 PM,7,Nîmes Olympique,1,Marseille,3,1,France,18
3,petek,8/24/18,8:45 PM,10,Olympique Lyon,7,R. Strasbourg,2,0,France,18
3,sobota,8/25/18,5:00 PM,1,Paris SG,16,SCO Angers,3,1,France,18
3,sobota,8/25/18,8:00 PM,18,Amiens SC,4,Stade Reims,4,1,France,18
3,sobota,8/25/18,8:00 PM,11,Montpellier,8,Saint-Étienne,0,0,France,18
3,sobota,8/25/18,8:00 PM,20,FC Nantes,15,SM Caen,1,1,France,18
3,sobota,8/25/18,8:00 PM,14,OGC Nice,3,Dijon,0,4,France,18
3,sobota,8/25/18,8:00 PM,13,Toulouse,2,Nîmes Olympique,1,0,France,18
