kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje,drzava,sezona
1,petek,9/11/20,7:00 PM,3,SönderjyskE,11,FC Midtjylland,2,0,Denmark,20
1,nedelja,9/13/20,2:00 PM,12,AC Horsens,1,Randers FC,0,3,Denmark,20
1,nedelja,9/13/20,2:00 PM,7,Lyngby BK,6,Aalborg BK,0,0,Denmark,20
1,nedelja,9/13/20,4:00 PM,4,Bröndby IF,9,Nordsjaelland,3,2,Denmark,20
1,nedelja,9/13/20,6:00 PM,5,Odense BK,8,FC Copenhagen,3,2,Denmark,20
1,ponedeljek,9/14/20,7:00 PM,2,Aarhus GF,10,Vejle BK,4,2,Denmark,20
2,sobota,9/19/20,3:30 PM,11,FC Midtjylland,7,Lyngby BK,1,0,Denmark,20
2,nedelja,9/20/20,2:00 PM,8,FC Copenhagen,4,Bröndby IF,1,2,Denmark,20
2,nedelja,9/20/20,2:00 PM,5,Odense BK,9,Nordsjaelland,1,1,Denmark,20
2,nedelja,9/20/20,4:00 PM,1,Randers FC,2,Aarhus GF,1,1,Denmark,20
2,nedelja,9/20/20,6:00 PM,10,Vejle BK,3,SönderjyskE,4,1,Denmark,20
2,ponedeljek,9/21/20,7:00 PM,6,Aalborg BK,12,AC Horsens,1,0,Denmark,20
3,sobota,9/26/20,5:00 PM,8,FC Midtjylland,2,Randers FC,1,0,Denmark,20
3,nedelja,9/27/20,2:00 PM,3,Aarhus GF,4,Odense BK,4,2,Denmark,20
3,nedelja,9/27/20,2:00 PM,7,SönderjyskE,5,Aalborg BK,3,1,Denmark,20
3,nedelja,9/27/20,4:00 PM,1,Bröndby IF,12,AC Horsens,2,1,Denmark,20
3,nedelja,9/27/20,6:00 PM,6,Vejle BK,11,FC Copenhagen,2,2,Denmark,20
3,ponedeljek,9/28/20,7:00 PM,9,Nordsjaelland,10,Lyngby BK,4,1,Denmark,20
4,petek,10/2/20,7:00 PM,6,Randers FC,1,Bröndby IF,1,2,Denmark,20
4,nedelja,10/4/20,2:00 PM,8,Odense BK,7,Vejle BK,0,1,Denmark,20
4,nedelja,10/4/20,2:00 PM,11,Lyngby BK,3,SönderjyskE,2,2,Denmark,20
4,nedelja,10/4/20,4:00 PM,9,Aalborg BK,2,Aarhus GF,1,1,Denmark,20
4,nedelja,10/4/20,6:00 PM,12,AC Horsens,4,FC Midtjylland,2,2,Denmark,20
4,nedelja,10/4/20,8:00 PM,10,FC Copenhagen,5,Nordsjaelland,3,2,Denmark,20
5,sobota,10/17/20,4:00 PM,5,FC Midtjylland,10,Odense BK,3,1,Denmark,20
5,nedelja,10/18/20,2:00 PM,2,Aarhus GF,12,AC Horsens,3,0,Denmark,20
5,nedelja,10/18/20,2:00 PM,3,Vejle BK,11,Lyngby BK,3,2,Denmark,20
5,nedelja,10/18/20,4:00 PM,4,SönderjyskE,1,Bröndby IF,2,0,Denmark,20
5,nedelja,10/18/20,6:00 PM,9,FC Copenhagen,6,Aalborg BK,1,2,Denmark,20
5,ponedeljek,10/19/20,7:00 PM,7,Nordsjaelland,8,Randers FC,1,0,Denmark,20
6,petek,10/23/20,7:00 PM,11,Lyngby BK,10,Odense BK,0,3,Denmark,20
6,sobota,10/24/20,6:00 PM,1,Bröndby IF,5,FC Midtjylland,2,3,Denmark,20
6,nedelja,10/25/20,2:00 PM,12,AC Horsens,7,Nordsjaelland,1,1,Denmark,20
6,nedelja,10/25/20,4:00 PM,8,Randers FC,4,SönderjyskE,1,2,Denmark,20
6,nedelja,10/25/20,6:00 PM,2,Aarhus GF,9,FC Copenhagen,0,1,Denmark,20
6,ponedeljek,10/26/20,7:00 PM,6,Aalborg BK,3,Vejle BK,1,3,Denmark,20
7,petek,10/30/20,7:00 PM,1,Vejle BK,10,Randers FC,0,3,Denmark,20
7,sobota,10/31/20,4:00 PM,6,Nordsjaelland,3,FC Midtjylland,4,1,Denmark,20
7,nedelja,11/1/20,2:00 PM,9,Odense BK,12,AC Horsens,1,0,Denmark,20
7,nedelja,11/1/20,4:00 PM,8,FC Copenhagen,11,Lyngby BK,4,2,Denmark,20
7,nedelja,11/1/20,6:00 PM,7,Aalborg BK,4,Bröndby IF,2,1,Denmark,20
7,ponedeljek,11/2/20,7:00 PM,2,SönderjyskE,5,Aarhus GF,1,1,Denmark,20
8,petek,11/6/20,7:00 PM,10,Randers FC,7,Aalborg BK,1,2,Denmark,20
8,nedelja,11/8/20,2:00 PM,6,Nordsjaelland,2,Vejle BK,1,1,Denmark,20
8,nedelja,11/8/20,2:00 PM,12,Lyngby BK,4,Aarhus GF,1,2,Denmark,20
8,nedelja,11/8/20,4:00 PM,5,Bröndby IF,9,Odense BK,3,1,Denmark,20
8,nedelja,11/8/20,6:00 PM,3,FC Midtjylland,8,FC Copenhagen,4,0,Denmark,20
8,nedelja,11/8/20,8:00 PM,11,AC Horsens,1,SönderjyskE,0,3,Denmark,20
9,petek,11/20/20,7:00 PM,11,Lyngby BK,12,AC Horsens,1,1,Denmark,20
9,nedelja,11/22/20,2:00 PM,8,Odense BK,1,SönderjyskE,1,1,Denmark,20
9,nedelja,11/22/20,2:00 PM,6,Aalborg BK,7,Nordsjaelland,1,1,Denmark,20
9,nedelja,11/22/20,4:00 PM,3,Aarhus GF,2,FC Midtjylland,1,2,Denmark,20
9,nedelja,11/22/20,6:00 PM,5,Vejle BK,4,Bröndby IF,0,2,Denmark,20
9,ponedeljek,11/23/20,7:00 PM,9,FC Copenhagen,10,Randers FC,1,2,Denmark,20
10,petek,11/27/20,7:00 PM,9,Randers FC,8,Odense BK,2,1,Denmark,20
10,sobota,11/28/20,4:00 PM,1,FC Midtjylland,5,Aalborg BK,0,0,Denmark,20
10,nedelja,11/29/20,2:00 PM,12,AC Horsens,6,Vejle BK,3,1,Denmark,20
10,nedelja,11/29/20,4:00 PM,2,SönderjyskE,10,FC Copenhagen,1,3,Denmark,20
10,nedelja,11/29/20,6:00 PM,7,Nordsjaelland,4,Aarhus GF,3,1,Denmark,20
10,ponedeljek,11/30/20,7:00 PM,3,Bröndby IF,11,Lyngby BK,4,1,Denmark,20
11,petek,12/4/20,7:00 PM,10,Odense BK,5,Aalborg BK,2,1,Denmark,20
11,sobota,12/5/20,4:00 PM,7,Vejle BK,2,FC Midtjylland,0,2,Denmark,20
11,nedelja,12/6/20,2:00 PM,3,SönderjyskE,4,Nordsjaelland,2,1,Denmark,20
11,nedelja,12/6/20,4:00 PM,9,FC Copenhagen,11,AC Horsens,2,0,Denmark,20
11,nedelja,12/6/20,6:00 PM,12,Lyngby BK,8,Randers FC,0,3,Denmark,20
11,ponedeljek,12/7/20,7:00 PM,6,Aarhus GF,1,Bröndby IF,3,1,Denmark,20
12,petek,12/11/20,7:00 PM,6,Randers FC,10,Vejle BK,3,1,Denmark,20
12,nedelja,12/13/20,2:00 PM,11,AC Horsens,4,Aarhus GF,1,2,Denmark,20
12,nedelja,12/13/20,2:00 PM,8,Aalborg BK,12,Lyngby BK,3,2,Denmark,20
12,nedelja,12/13/20,4:00 PM,5,Nordsjaelland,7,FC Copenhagen,0,1,Denmark,20
12,nedelja,12/13/20,6:00 PM,3,Bröndby IF,2,SönderjyskE,2,1,Denmark,20
12,ponedeljek,12/14/20,7:00 PM,9,Odense BK,1,FC Midtjylland,1,1,Denmark,20
13,nedelja,12/20/20,2:00 PM,4,SönderjyskE,5,Randers FC,0,1,Denmark,20
13,nedelja,12/20/20,2:00 PM,12,Lyngby BK,10,Vejle BK,0,0,Denmark,20
