kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje,drzava,sezona
1,sobota,9/12/20,6:45 PM,4,Heerenveen,18,Willem II,2,0,Netherlands,20
1,sobota,9/12/20,8:00 PM,17,PEC Zwolle,3,Feyenoord,0,2,Netherlands,20
1,sobota,9/12/20,9:00 PM,6,Twente FC,16,Fortuna Sittard,2,0,Netherlands,20
1,nedelja,9/13/20,12:15 PM,13,FC Emmen,1,VVV-Venlo,3,5,Netherlands,20
1,nedelja,9/13/20,2:30 PM,5,Heracles Almelo,15,ADO Den Haag,2,0,Netherlands,20
1,nedelja,9/13/20,2:30 PM,12,Sparta R.,7,Ajax,0,1,Netherlands,20
1,nedelja,9/13/20,4:45 PM,14,FC Groningen,2,PSV Eindhoven,1,3,Netherlands,20
1,nedelja,9/13/20,4:45 PM,11,RKC Waalwijk,8,Vitesse,0,1,Netherlands,20
1,nedelja,12/27/20,2:30 PM,10,FC Utrecht,9,AZ Alkmaar,2,2,Netherlands,20
2,petek,9/18/20,8:00 PM,1,VVV-Venlo,10,FC Utrecht,1,1,Netherlands,20
2,sobota,9/19/20,4:30 PM,9,AZ Alkmaar,17,PEC Zwolle,1,1,Netherlands,20
2,sobota,9/19/20,6:45 PM,8,Vitesse,12,Sparta R.,2,0,Netherlands,20
2,sobota,9/19/20,8:00 PM,2,PSV Eindhoven,13,FC Emmen,2,1,Netherlands,20
2,sobota,9/19/20,9:00 PM,16,Fortuna Sittard,4,Heerenveen,1,3,Netherlands,20
2,nedelja,9/20/20,12:15 PM,15,ADO Den Haag,14,FC Groningen,0,1,Netherlands,20
2,nedelja,9/20/20,2:30 PM,3,Feyenoord,6,Twente FC,1,1,Netherlands,20
2,nedelja,9/20/20,2:30 PM,18,Willem II,5,Heracles Almelo,4,0,Netherlands,20
2,nedelja,9/20/20,4:45 PM,7,Ajax,11,RKC Waalwijk,3,0,Netherlands,20
3,petek,9/25/20,8:00 PM,7,Twente FC,9,FC Groningen,3,1,Netherlands,20
3,sobota,9/26/20,4:30 PM,13,PEC Zwolle,16,Sparta R.,4,0,Netherlands,20
3,sobota,9/26/20,6:45 PM,17,Fortuna Sittard,11,AZ Alkmaar,3,3,Netherlands,20
3,sobota,9/26/20,8:00 PM,1,Heerenveen,5,VVV-Venlo,1,0,Netherlands,20
3,sobota,9/26/20,9:00 PM,2,Ajax,4,Vitesse,2,1,Netherlands,20
3,nedelja,9/27/20,12:15 PM,6,Feyenoord,15,ADO Den Haag,4,2,Netherlands,20
3,nedelja,9/27/20,2:30 PM,12,FC Utrecht,18,RKC Waalwijk,3,1,Netherlands,20
3,nedelja,9/27/20,4:45 PM,10,Heracles Almelo,3,PSV Eindhoven,1,1,Netherlands,20
3,nedelja,9/27/20,4:45 PM,14,FC Emmen,8,Willem II,1,1,Netherlands,20
4,petek,10/2/20,8:00 PM,7,FC Utrecht,2,Heerenveen,1,1,Netherlands,20
4,sobota,10/3/20,4:30 PM,6,Vitesse,11,Heracles Almelo,3,0,Netherlands,20
4,sobota,10/3/20,8:00 PM,10,VVV-Venlo,16,ADO Den Haag,1,2,Netherlands,20
4,sobota,10/3/20,9:00 PM,4,Twente FC,14,FC Emmen,1,1,Netherlands,20
4,nedelja,10/4/20,12:15 PM,13,FC Groningen,1,Ajax,1,0,Netherlands,20
4,nedelja,10/4/20,2:30 PM,18,Sparta R.,12,AZ Alkmaar,4,4,Netherlands,20
4,nedelja,10/4/20,2:30 PM,9,Willem II,3,Feyenoord,1,4,Netherlands,20
