kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje,drzava,sezona
1,petek,7/19/19,8:00 PM,10,Vozdovac,6,FK TSC,1,2,Serbia,19
1,sobota,7/20/19,6:00 PM,5,Spartak,11,Rad,2,1,Serbia,19
1,sobota,7/20/19,8:00 PM,3,Red Star,15,Javor-Matis,2,0,Serbia,19
1,sobota,7/20/19,8:00 PM,4,Mladost,9,Radnik,2,1,Serbia,19
1,sobota,7/20/19,8:00 PM,8,Cukaricki,12,Napredak,1,0,Serbia,19
1,sobota,7/20/19,8:00 PM,2,Vojvodina,14,Macva,3,1,Serbia,19
1,nedelja,7/21/19,6:00 PM,13,FK Indjija,7,Partizan,0,1,Serbia,19
1,nedelja,7/21/19,8:00 PM,1,Radnicki Nis,16,Proleter,3,0,Serbia,19
2,sobota,7/27/19,6:00 PM,6,FK TSC,4,Mladost,5,1,Serbia,19
2,sobota,7/27/19,8:00 PM,14,Macva,13,FK Indjija,2,2,Serbia,19
2,sobota,7/27/19,8:00 PM,9,Radnik,5,Spartak,4,0,Serbia,19
2,sobota,7/27/19,8:00 PM,16,Proleter,10,Vozdovac,2,2,Serbia,19
2,sobota,7/27/19,8:00 PM,3,Red Star,1,Radnicki Nis,2,0,Serbia,19
2,nedelja,7/28/19,8:00 PM,12,Napredak,2,Vojvodina,0,2,Serbia,19
2,sreda,8/28/19,8:00 PM,11,Rad,8,Cukaricki,2,3,Serbia,19
2,sreda,9/25/19,5:00 PM,15,Javor-Matis,7,Partizan,0,2,Serbia,19
3,petek,8/2/19,8:00 PM,8,Mladost,13,Proleter,1,1,Serbia,19
3,sobota,8/3/19,5:00 PM,11,FK Indjija,15,Napredak,1,0,Serbia,19
3,sobota,8/3/19,8:00 PM,6,Radnicki Nis,16,Javor-Matis,2,1,Serbia,19
3,sobota,8/3/19,8:00 PM,2,Vojvodina,14,Rad,5,0,Serbia,19
3,nedelja,8/4/19,8:00 PM,9,Spartak,1,FK TSC,1,2,Serbia,19
3,nedelja,8/4/19,8:00 PM,5,Cukaricki,7,Radnik,1,0,Serbia,19
3,nedelja,8/4/19,8:00 PM,4,Partizan,12,Macva,4,0,Serbia,19
3,sreda,9/25/19,7:00 PM,10,Vozdovac,3,Red Star,1,3,Serbia,19
4,petek,8/9/19,8:00 PM,4,Red Star,8,Mladost,2,0,Serbia,19
4,sobota,8/10/19,5:00 PM,3,FK TSC,5,Cukaricki,1,0,Serbia,19
4,sobota,8/10/19,8:00 PM,15,Javor-Matis,13,Macva,3,1,Serbia,19
4,sobota,8/10/19,8:00 PM,16,Rad,7,FK Indjija,1,0,Serbia,19
4,sobota,8/10/19,8:00 PM,6,Radnicki Nis,12,Vozdovac,2,1,Serbia,19
4,nedelja,8/11/19,7:00 PM,14,Napredak,2,Partizan,2,2,Serbia,19
4,nedelja,8/11/19,8:00 PM,9,Radnik,1,Vojvodina,0,4,Serbia,19
4,nedelja,8/11/19,8:00 PM,11,Proleter,10,Spartak,0,1,Serbia,19
5,petek,8/16/19,8:00 PM,14,Vozdovac,11,Javor-Matis,2,1,Serbia,19
5,sobota,8/17/19,5:00 PM,8,FK Indjija,10,Radnik,2,1,Serbia,19
5,sobota,8/17/19,8:00 PM,9,Mladost,5,Radnicki Nis,1,1,Serbia,19
5,sobota,8/17/19,8:00 PM,7,Spartak,2,Red Star,2,3,Serbia,19
5,sobota,8/17/19,8:00 PM,6,Cukaricki,13,Proleter,2,1,Serbia,19
5,nedelja,8/18/19,7:00 PM,4,Partizan,12,Rad,3,0,Serbia,19
5,nedelja,8/18/19,8:00 PM,1,Vojvodina,3,FK TSC,2,2,Serbia,19
5,nedelja,8/18/19,8:00 PM,16,Macva,15,Napredak,0,1,Serbia,19
6,sobota,8/24/19,8:00 PM,13,Javor-Matis,11,Napredak,2,2,Serbia,19
6,sobota,8/24/19,8:00 PM,14,Rad,16,Macva,2,0,Serbia,19
6,sobota,8/24/19,8:00 PM,15,Proleter,4,Vojvodina,0,1,Serbia,19
6,sobota,8/24/19,8:00 PM,10,Vozdovac,9,Mladost,2,0,Serbia,19
6,nedelja,8/25/19,6:30 PM,6,Radnicki Nis,8,Spartak,2,1,Serbia,19
6,nedelja,8/25/19,8:00 PM,3,FK TSC,7,FK Indjija,2,0,Serbia,19
6,nedelja,12/15/19,1:00 PM,12,Radnik,2,Partizan,1,2,Serbia,19
6,nedelja,12/15/19,3:00 PM,1,Red Star,5,Cukaricki,3,1,Serbia,19
7,sobota,8/31/19,6:45 PM,4,Vojvodina,1,Red Star,1,2,Serbia,19
7,sobota,8/31/19,8:00 PM,9,Spartak,7,Vozdovac,2,1,Serbia,19
7,sobota,8/31/19,8:00 PM,16,Macva,14,Radnik,1,1,Serbia,19
7,nedelja,9/1/19,5:00 PM,8,FK Indjija,15,Proleter,1,2,Serbia,19
7,nedelja,9/1/19,8:00 PM,12,Mladost,13,Javor-Matis,3,3,Serbia,19
7,nedelja,9/1/19,8:00 PM,6,Cukaricki,5,Radnicki Nis,1,0,Serbia,19
7,nedelja,9/1/19,8:00 PM,2,Partizan,3,FK TSC,1,1,Serbia,19
7,nedelja,9/1/19,8:00 PM,11,Napredak,10,Rad,4,0,Serbia,19
8,petek,9/13/19,6:00 PM,6,Radnicki Nis,4,Vojvodina,1,2,Serbia,19
8,sobota,9/14/19,6:00 PM,1,Red Star,10,FK Indjija,2,1,Serbia,19
8,sobota,9/14/19,7:00 PM,13,Javor-Matis,12,Rad,3,0,Serbia,19
8,sobota,9/14/19,7:00 PM,15,Radnik,8,Napredak,1,4,Serbia,19
8,sobota,9/14/19,8:00 PM,9,Vozdovac,5,Cukaricki,2,2,Serbia,19
8,sobota,9/14/19,8:30 PM,14,Proleter,3,Partizan,0,3,Serbia,19
8,nedelja,9/15/19,7:00 PM,2,FK TSC,16,Macva,0,0,Serbia,19
8,nedelja,9/15/19,7:00 PM,11,Mladost,7,Spartak,2,0,Serbia,19
9,sobota,9/21/19,4:00 PM,12,FK Indjija,6,Radnicki Nis,0,1,Serbia,19
9,sobota,9/21/19,6:00 PM,9,Spartak,11,Javor-Matis,1,0,Serbia,19
9,sobota,9/21/19,6:00 PM,5,Cukaricki,8,Mladost,1,0,Serbia,19
9,sobota,9/21/19,6:00 PM,7,Napredak,4,FK TSC,1,3,Serbia,19
9,sobota,9/21/19,6:00 PM,13,Rad,15,Radnik,0,1,Serbia,19
