kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje,drzava,sezona
1,sobota,9/19/20,6:00 PM,9,Fiorentina,12,Torino,1,0,Italy,20
1,sobota,9/19/20,8:45 PM,4,Hellas Verona,19,AS Roma,3,0,Italy,20
1,nedelja,9/20/20,12:30 PM,14,Parma,7,SSC Napoli,0,2,Italy,20
1,nedelja,9/20/20,3:00 PM,3,Genoa,17,Crotone,4,1,Italy,20
1,nedelja,9/20/20,6:00 PM,11,Sassuolo,10,Cagliari Calcio,1,1,Italy,20
1,nedelja,9/20/20,8:45 PM,5,Juventus,20,Sampdoria,3,0,Italy,20
1,ponedeljek,9/21/20,8:45 PM,6,AC Milan,13,Bologna,2,0,Italy,20
1,sreda,9/30/20,6:00 PM,16,Benevento,1,Inter,2,5,Italy,20
1,sreda,9/30/20,6:00 PM,15,Udinese Calcio,8,Spezia Calcio,0,2,Italy,20
1,sreda,9/30/20,8:45 PM,18,Lazio,2,Atalanta BC,1,4,Italy,20
2,sobota,9/26/20,3:00 PM,12,Torino,2,Atalanta BC,2,4,Italy,20
2,sobota,9/26/20,6:00 PM,10,Cagliari Calcio,18,Lazio,0,2,Italy,20
2,sobota,9/26/20,6:00 PM,20,Sampdoria,16,Benevento,2,3,Italy,20
2,sobota,9/26/20,8:45 PM,1,Inter,9,Fiorentina,4,3,Italy,20
2,nedelja,9/27/20,12:30 PM,8,Spezia Calcio,11,Sassuolo,1,4,Italy,20
2,nedelja,9/27/20,3:00 PM,4,Hellas Verona,15,Udinese Calcio,1,0,Italy,20
2,nedelja,9/27/20,6:00 PM,17,Crotone,6,AC Milan,0,2,Italy,20
2,nedelja,9/27/20,6:00 PM,7,SSC Napoli,3,Genoa,6,0,Italy,20
2,nedelja,9/27/20,8:45 PM,19,AS Roma,5,Juventus,2,2,Italy,20
2,ponedeljek,9/28/20,8:45 PM,13,Bologna,14,Parma,4,1,Italy,20
3,petek,10/2/20,8:45 PM,9,Fiorentina,18,Sampdoria,1,2,Italy,20
3,sobota,10/3/20,3:00 PM,7,Sassuolo,19,Crotone,4,1,Italy,20
3,sobota,10/3/20,8:45 PM,17,Udinese Calcio,15,AS Roma,0,1,Italy,20
3,nedelja,10/4/20,12:30 PM,2,Atalanta BC,14,Cagliari Calcio,5,2,Italy,20
3,nedelja,10/4/20,3:00 PM,12,Benevento,8,Bologna,1,0,Italy,20
3,nedelja,10/4/20,3:00 PM,10,Lazio,3,Inter,1,1,Italy,20
3,nedelja,10/4/20,3:00 PM,20,Parma,4,Hellas Verona,1,0,Italy,20
3,nedelja,10/4/20,6:00 PM,5,AC Milan,11,Spezia Calcio,3,0,Italy,20
3,sreda,11/4/20,5:00 PM,13,Genoa,16,Torino,1,2,Italy,20
3,sreda,4/7/21,6:45 PM,6,Juventus,1,SSC Napoli,2,1,Italy,20
4,sobota,10/17/20,3:00 PM,6,SSC Napoli,1,Atalanta BC,4,1,Italy,20
4,sobota,10/17/20,6:00 PM,4,Inter,2,AC Milan,1,2,Italy,20
4,sobota,10/17/20,6:00 PM,13,Sampdoria,9,Lazio,3,0,Italy,20
4,sobota,10/17/20,8:45 PM,20,Crotone,5,Juventus,1,1,Italy,20
4,nedelja,10/18/20,12:30 PM,12,Bologna,3,Sassuolo,3,4,Italy,20
4,nedelja,10/18/20,3:00 PM,11,Spezia Calcio,15,Fiorentina,2,2,Italy,20
4,nedelja,10/18/20,3:00 PM,14,Torino,18,Cagliari Calcio,2,3,Italy,20
4,nedelja,10/18/20,6:00 PM,19,Udinese Calcio,17,Parma,3,2,Italy,20
4,nedelja,10/18/20,8:45 PM,10,AS Roma,8,Benevento,5,2,Italy,20
4,ponedeljek,10/19/20,8:45 PM,7,Hellas Verona,16,Genoa,0,0,Italy,20
5,petek,10/23/20,8:45 PM,2,Sassuolo,16,Torino,3,3,Italy,20
