kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje,drzava,sezona
1,petek,9/18/20,8:00 PM,18,Famalicão,1,Benfica,1,5,Portugal,20
1,petek,9/18/20,10:15 PM,13,Vit. Guimarães,6,Belenenses SAD,0,1,Portugal,20
1,sobota,9/19/20,5:00 PM,8,Nacional,7,Boavista,3,3,Portugal,20
1,sobota,9/19/20,10:00 PM,2,FC Porto,14,SC Braga,3,1,Portugal,20
1,nedelja,9/20/20,5:00 PM,5,Santa Clara,17,Marítimo,2,0,Portugal,20
1,nedelja,9/20/20,7:30 PM,4,Moreirense ,16,Farense,2,0,Portugal,20
1,nedelja,9/20/20,10:00 PM,12,Tondela,9,Rio Ave FC,1,1,Portugal,20
1,ponedeljek,9/21/20,8:45 PM,11,Portimonense,10,Paços Ferreira,1,1,Portugal,20
1,sreda,10/28/20,10:45 PM,3,Sporting CP,15,Gil Vicente,3,1,Portugal,20
2,petek,9/25/20,9:30 PM,14,SC Braga,5,Santa Clara,0,1,Portugal,20
2,sobota,9/26/20,4:30 PM,17,Marítimo,12,Tondela,2,1,Portugal,20
2,sobota,9/26/20,7:30 PM,1,Benfica,4,Moreirense ,2,0,Portugal,20
2,sobota,9/26/20,10:00 PM,7,Boavista,2,FC Porto,0,5,Portugal,20
2,nedelja,9/27/20,4:30 PM,16,Farense,8,Nacional,0,1,Portugal,20
2,nedelja,9/27/20,5:00 PM,15,Gil Vicente,11,Portimonense,1,0,Portugal,20
2,nedelja,9/27/20,7:30 PM,10,Paços Ferreira,3,Sporting CP,0,2,Portugal,20
2,nedelja,9/27/20,10:00 PM,9,Rio Ave FC,13,Vit. Guimarães,0,0,Portugal,20
2,ponedeljek,9/28/20,8:45 PM,6,Belenenses SAD,18,Famalicão,1,2,Portugal,20
3,petek,10/2/20,8:00 PM,6,Moreirense ,14,Boavista,1,1,Portugal,20
3,petek,10/2/20,10:15 PM,13,Vit. Guimarães,15,Paços Ferreira,1,0,Portugal,20
3,sobota,10/3/20,5:00 PM,4,Santa Clara,7,Gil Vicente,0,0,Portugal,20
3,sobota,10/3/20,7:30 PM,1,FC Porto,8,Marítimo,2,3,Portugal,20
3,sobota,10/3/20,10:00 PM,12,Tondela,17,SC Braga,0,4,Portugal,20
3,nedelja,10/4/20,4:30 PM,5,Nacional,10,Belenenses SAD,0,0,Portugal,20
3,nedelja,10/4/20,7:30 PM,9,Famalicão,11,Rio Ave FC,1,1,Portugal,20
3,nedelja,10/4/20,7:30 PM,2,Benfica,18,Farense,3,2,Portugal,20
3,nedelja,10/4/20,10:00 PM,16,Portimonense,3,Sporting CP,0,2,Portugal,20
4,sobota,10/17/20,4:30 PM,8,Gil Vicente,15,Tondela,1,1,Portugal,20
4,sobota,10/17/20,4:30 PM,4,Marítimo,17,Portimonense,1,2,Portugal,20
4,sobota,10/17/20,7:00 PM,12,SC Braga,6,Nacional,2,1,Portugal,20
4,sobota,10/17/20,9:30 PM,2,Sporting CP,5,FC Porto,2,2,Portugal,20
4,nedelja,10/18/20,4:00 PM,16,Paços Ferreira,3,Santa Clara,2,1,Portugal,20
4,nedelja,10/18/20,4:00 PM,10,Belenenses SAD,7,Moreirense ,0,0,Portugal,20
4,nedelja,10/18/20,6:30 PM,18,Farense,9,Famalicão,3,3,Portugal,20
4,nedelja,10/18/20,9:00 PM,13,Rio Ave FC,1,Benfica,0,3,Portugal,20
4,ponedeljek,10/19/20,9:15 PM,14,Boavista,11,Vit. Guimarães,0,1,Portugal,20
5,petek,10/23/20,9:30 PM,16,Tondela,14,Portimonense,1,0,Portugal,20
5,sobota,10/24/20,4:30 PM,12,Nacional,13,Paços Ferreira,1,1,Portugal,20
5,sobota,10/24/20,7:00 PM,4,Santa Clara,2,Sporting CP,1,2,Portugal,20
5,sobota,10/24/20,9:30 PM,3,FC Porto,8,Gil Vicente,1,0,Portugal,20
5,nedelja,10/25/20,4:00 PM,11,Moreirense ,7,Marítimo,2,1,Portugal,20
5,nedelja,10/25/20,4:00 PM,18,Farense,15,Rio Ave FC,0,1,Portugal,20
5,nedelja,10/25/20,6:30 PM,9,Famalicão,17,Boavista,2,2,Portugal,20
5,nedelja,10/25/20,9:00 PM,5,Vit. Guimarães,6,SC Braga,0,1,Portugal,20
5,ponedeljek,10/26/20,9:15 PM,1,Benfica,10,Belenenses SAD,2,0,Portugal,20
6,petek,10/30/20,9:30 PM,12,Paços Ferreira,3,FC Porto,3,2,Portugal,20
6,sobota,10/31/20,4:30 PM,13,Belenenses SAD,18,Farense,1,1,Portugal,20
6,sobota,10/31/20,7:00 PM,10,Rio Ave FC,5,Moreirense ,2,0,Portugal,20
