kolo,dan,datum,ura,id_domaci,lestvica_domaci,domaca_ekipa,id_gostje,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,tocke_domaci,zadetki_gostje,tocke_gostje,razlika_ekip,visja_na_lestvici,nizja_na_lestvici,remi
6,sreda,9/25/19,7:00 PM,1244,20,CD Leganés,621,1,Athletic,1,1,1,1,19,1,20,1
6,sreda,9/25/19,7:00 PM,237,17,RCD Mallorca,13,6,Atlético Madrid,0,0,2,3,11,6,17,0
6,sreda,9/25/19,8:00 PM,1049,16,Valencia,3709,11,Getafe,3,1,3,1,5,11,16,1
6,sreda,9/25/19,9:00 PM,418,2,Real Madrid,331,10,CA Osasuna,2,3,0,0,8,2,10,0
6,četrtek,9/26/19,7:00 PM,1533,19,SD Eibar,368,4,Sevilla FC,3,3,2,0,15,4,19,0
6,četrtek,9/26/19,8:00 PM,940,14,Celta de Vigo,714,18,Espanyol,1,1,1,1,4,14,18,1
6,četrtek,9/26/19,9:00 PM,681,3,Real Sociedad,1108,12,Alavés,3,3,0,0,9,3,12,0
7,petek,9/27/19,9:00 PM,1050,8,Villarreal,150,9,Real Betis,5,3,1,0,1,8,9,0
7,sobota,9/28/19,1:00 PM,621,4,Athletic,1049,15,Valencia,0,0,1,3,11,4,15,0
7,sobota,9/28/19,4:00 PM,3709,10,Getafe,131,6,FC Barcelona,0,0,2,3,4,6,10,0
7,sobota,9/28/19,6:30 PM,16795,5,Granada CF,1244,20,CD Leganés,1,3,0,0,15,5,20,0
7,sobota,9/28/19,9:00 PM,13,3,Atlético Madrid,418,1,Real Madrid,0,1,0,1,2,1,3,1
7,nedelja,9/29/19,12:00 PM,714,16,Espanyol,366,13,Real Valladolid,0,0,2,3,3,13,16,0
7,nedelja,9/29/19,2:00 PM,1533,18,SD Eibar,940,14,Celta de Vigo,2,3,0,0,4,14,18,0
7,nedelja,9/29/19,4:00 PM,1108,17,Alavés,237,19,RCD Mallorca,2,3,0,0,2,17,19,0
7,nedelja,9/29/19,6:30 PM,3368,11,Levante,331,12,CA Osasuna,1,1,1,1,1,11,12,1
7,nedelja,9/29/19,9:00 PM,368,7,Sevilla FC,681,2,Real Sociedad,3,3,2,0,5,2,7,0
8,petek,10/4/19,9:00 PM,150,11,Real Betis,1533,14,SD Eibar,1,1,1,1,3,11,14,1
8,sobota,10/5/19,1:00 PM,1244,20,CD Leganés,3368,15,Levante,1,0,2,3,5,15,20,0
8,sobota,10/5/19,4:00 PM,418,1,Real Madrid,16795,2,Granada CF,4,3,2,0,1,1,2,0
8,sobota,10/5/19,6:30 PM,1049,9,Valencia,1108,12,Alavés,2,3,1,0,3,9,12,0
8,sobota,10/5/19,9:00 PM,331,13,CA Osasuna,1050,8,Villarreal,2,3,1,0,5,8,13,0
8,nedelja,10/6/19,12:00 PM,237,19,RCD Mallorca,714,18,Espanyol,2,3,0,0,1,18,19,0
8,nedelja,10/6/19,2:00 PM,940,17,Celta de Vigo,621,7,Athletic,1,3,0,0,10,7,17,0
8,nedelja,10/6/19,4:00 PM,366,10,Real Valladolid,13,3,Atlético Madrid,0,1,0,1,7,3,10,1
8,nedelja,10/6/19,6:30 PM,681,6,Real Sociedad,3709,16,Getafe,1,0,2,3,10,6,16,0
8,nedelja,10/6/19,9:00 PM,131,4,FC Barcelona,368,5,Sevilla FC,4,3,0,0,1,4,5,0
9,petek,10/18/19,9:00 PM,16795,4,Granada CF,331,9,CA Osasuna,1,3,0,0,5,4,9,0
9,sobota,10/19/19,1:00 PM,1533,14,SD Eibar,131,2,FC Barcelona,0,0,3,3,12,2,14,0
9,sobota,10/19/19,4:00 PM,13,3,Atlético Madrid,1049,7,Valencia,1,1,1,1,4,3,7,1
9,sobota,10/19/19,6:30 PM,3709,12,Getafe,1244,20,CD Leganés,2,3,0,0,8,12,20,0
9,sobota,10/19/19,9:00 PM,237,18,RCD Mallorca,418,1,Real Madrid,1,3,0,0,17,1,18,0
9,nedelja,10/20/19,12:00 PM,1108,17,Alavés,940,16,Celta de Vigo,2,3,0,0,1,16,17,0
9,nedelja,10/20/19,2:00 PM,681,6,Real Sociedad,150,15,Real Betis,3,3,1,0,9,6,15,0
9,nedelja,10/20/19,4:00 PM,714,19,Espanyol,1050,11,Villarreal,0,0,1,3,8,11,19,0
9,nedelja,10/20/19,6:30 PM,621,8,Athletic,366,13,Real Valladolid,1,1,1,1,5,8,13,1
9,nedelja,10/20/19,9:00 PM,368,5,Sevilla FC,3368,10,Levante,1,3,0,0,5,5,10,0
10,petek,10/25/19,9:00 PM,1050,7,Villarreal,1108,12,Alavés,4,3,1,0,5,7,12,0
10,sobota,10/26/19,4:00 PM,1244,20,CD Leganés,237,15,RCD Mallorca,1,3,0,0,5,15,20,0
10,sobota,10/26/19,6:30 PM,366,14,Real Valladolid,1533,16,SD Eibar,2,3,0,0,2,14,16,0
10,sobota,10/26/19,9:00 PM,13,6,Atlético Madrid,621,10,Athletic,2,3,0,0,4,6,10,0
10,nedelja,10/27/19,12:00 PM,940,18,Celta de Vigo,681,4,Real Sociedad,0,0,1,3,14,4,18,0
10,nedelja,10/27/19,2:00 PM,16795,3,Granada CF,150,17,Real Betis,1,3,0,0,14,3,17,0
10,nedelja,10/27/19,4:00 PM,3368,11,Levante,714,19,Espanyol,0,0,1,3,8,11,19,0
10,nedelja,10/27/19,6:30 PM,368,5,Sevilla FC,3709,9,Getafe,2,3,0,0,4,5,9,0
10,nedelja,10/27/19,9:00 PM,331,13,CA Osasuna,1049,8,Valencia,3,3,1,0,5,8,13,0
10,sreda,12/18/19,8:00 PM,131,1,FC Barcelona,418,2,Real Madrid,0,1,0,1,1,1,2,1
11,torek,10/29/19,7:00 PM,1108,13,Alavés,13,6,Atlético Madrid,1,1,1,1,7,6,13,1
11,torek,10/29/19,9:15 PM,131,2,FC Barcelona,366,9,Real Valladolid,5,3,1,0,7,2,9,0
11,sreda,10/30/19,7:00 PM,681,4,Real Sociedad,3368,14,Levante,1,0,2,3,10,4,14,0
11,sreda,10/30/19,7:00 PM,1049,10,Valencia,368,5,Sevilla FC,1,1,1,1,5,5,10,1
