kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje
32,sobota,6/27/20,7:30 PM,11,CA Osasuna,19,CD Leganés,2,1
32,sobota,6/27/20,10:00 PM,3,Atlético Madrid,14,Alavés,2,1
32,nedelja,6/28/20,2:00 PM,12,Levante,13,Real Betis,4,2
32,nedelja,6/28/20,5:00 PM,6,Villarreal,8,Valencia,2,0
32,nedelja,6/28/20,7:30 PM,9,Granada CF,17,SD Eibar,1,2
32,nedelja,6/28/20,10:00 PM,20,Espanyol,1,Real Madrid,0,1
32,ponedeljek,6/29/20,10:00 PM,5,Getafe,7,Real Sociedad,2,1
33,torek,6/30/20,7:30 PM,18,RCD Mallorca,17,Celta de Vigo,5,1
33,torek,6/30/20,9:00 PM,19,CD Leganés,4,Sevilla FC,0,3
33,torek,6/30/20,10:00 PM,2,FC Barcelona,3,Atlético Madrid,2,2
33,sreda,7/1/20,7:30 PM,14,Alavés,10,Granada CF,0,2
33,sreda,7/1/20,7:30 PM,8,Valencia,9,Athletic,0,2
33,sreda,7/1/20,10:00 PM,13,Real Betis,6,Villarreal,0,2
33,sreda,7/1/20,10:00 PM,15,Real Valladolid,12,Levante,0,0
33,četrtek,7/2/20,7:30 PM,16,SD Eibar,11,CA Osasuna,0,2
33,četrtek,7/2/20,7:30 PM,7,Real Sociedad,20,Espanyol,2,1
